ENERGY;Dx;Dy;Dz;Pcis
 -205.765519889  ;  0.7732  ; -1.1495   ;  0.1371  ;1
 -205.777429919  ;  0.7999  ; -1.2274   ;  0.2222  ;1
 -205.770051580  ;  0.8253  ; -1.2999   ;  0.2901  ;1
 -205.753545633  ;  0.8481  ; -1.3646   ;  0.3390  ;1
 -205.733293048  ;  0.8675  ; -1.4200   ;  0.3679  ;1
 -205.712165302  ;  0.8831  ; -1.4657   ;  0.3768  ;1
 -205.691662331  ;  0.8948  ; -1.5014   ;  0.3662  ;1
 -205.672524960  ;  0.9023  ; -1.5270   ;  0.3367  ;1
 -205.655083198  ;  0.9057  ; -1.5424   ;  0.2900  ;1
 -205.639446931  ;  0.9053  ; -1.5479   ;  0.2283  ;1
 -205.625602498  ;  0.9018  ; -1.5444   ;  0.1552  ;1
 -205.613461861  ;  0.8964  ; -1.5334   ;  0.0754  ;1
 -205.602892291  ;  0.8902  ; -1.5169   ; -0.0064  ;1
 -205.593738362  ;  0.8845  ; -1.4970   ; -0.0861  ;1
 -205.585839210  ;  0.8802  ; -1.4756   ; -0.1603  ;1
 -205.579039924  ;  0.8780  ; -1.4543   ; -0.2272  ;1
 -205.573197692  ;  0.8782  ; -1.4343   ; -0.2857  ;1
 -205.306660365  ;  0.7254  ; -0.8986   ; -0.1713  ;1
 -205.588154463  ;  0.7464  ; -0.9693   ; -0.0484  ;1
 -205.715466055  ;  0.7719  ; -1.0451   ;  0.0630  ;1
 -205.766063864  ;  0.8001  ; -1.1231   ;  0.1621  ;1
 -205.777955541  ;  0.8287  ; -1.1994   ;  0.2466  ;1
 -205.770589840  ;  0.8558  ; -1.2703   ;  0.3137  ;1
