ENERGY;Dx;Dy;Dz;Pcis
 -205.689262189  ; -0.3516  ; -1.4974   ;  1.3027  ;1
 -205.676405463  ; -0.4244  ; -1.5034   ;  1.3886  ;1
 -205.663598090  ; -0.4934  ; -1.5089   ;  1.4676  ;1
 -205.650914306  ; -0.5587  ; -1.5139   ;  1.5404  ;1
 -205.638409984  ; -0.6205  ; -1.5185   ;  1.6077  ;1
 -205.626127224  ; -0.6789  ; -1.5227   ;  1.6702  ;1
 -205.614097734  ; -0.7342  ; -1.5265   ;  1.7283  ;1
 -205.723811138  ;  1.1217  ; -1.3161   ; -0.9095  ;1
 -205.748539349  ;  0.9730  ; -1.3365   ; -0.6356  ;1
 -205.763871820  ;  0.8308  ; -1.3554   ; -0.3819  ;1
 -205.771888945  ;  0.6954  ; -1.3728   ; -0.1481  ;1
 -205.774251033  ;  0.5669  ; -1.3887   ;  0.0668  ;1
 -205.772280755  ;  0.4451  ; -1.4032   ;  0.2636  ;1
 -205.767029202  ;  0.3300  ; -1.4164   ;  0.4435  ;1
 -205.759327195  ;  0.2214  ; -1.4285   ;  0.6077  ;1
 -205.749828052  ;  0.1188  ; -1.4394   ;  0.7572  ;1
 -205.739041596  ;  0.0220  ; -1.4493   ;  0.8934  ;1
 -205.727362272  ; -0.0694  ; -1.4583   ;  1.0174  ;1
 -205.715093037  ; -0.1557  ; -1.4664   ;  1.1305  ;1
 -205.702464546  ; -0.2374  ; -1.4738   ;  1.2337  ;1
 -205.689651302  ; -0.3146  ; -1.4805   ;  1.3281  ;1
 -205.676784807  ; -0.3876  ; -1.4866   ;  1.4147  ;1
 -205.663963882  ; -0.4568  ; -1.4922   ;  1.4943  ;1
 -205.651262820  ; -0.5223  ; -1.4973   ;  1.5678  ;1
 -205.638737602  ; -0.5843  ; -1.5020   ;  1.6357  ;1
 -205.626430468  ; -0.6429  ; -1.5063   ;  1.6987  ;1
 -205.614373308  ; -0.6984  ; -1.5103   ;  1.7573  ;1
 -205.724309618  ;  1.1567  ; -1.2970   ; -0.8912  ;1
 -205.748979740  ;  1.0085  ; -1.3174   ; -0.6169  ;1
 -205.764279025  ;  0.8667  ; -1.3363   ; -0.3628  ;1
 -205.772280293  ;  0.7317  ; -1.3536   ; -0.1285  ;1
 -205.774638126  ;  0.6034  ; -1.3696   ;  0.0869  ;1
 -205.772670851  ;  0.4818  ; -1.3841   ;  0.2843  ;1
 -205.767426279  ;  0.3668  ; -1.3974   ;  0.4648  ;1
 -205.759732758  ;  0.2582  ; -1.4095   ;  0.6296  ;1
 -205.750241783  ;  0.1556  ; -1.4205   ;  0.7798  ;1
 -205.739461830  ;  0.0588  ; -1.4304   ;  0.9167  ;1
 -205.727786389  ; -0.0327  ; -1.4395   ;  1.0414  ;1
 -205.715517758  ; -0.1192  ; -1.4477   ;  1.1552  ;1
 -205.702886172  ; -0.2010  ; -1.4552   ;  1.2592  ;1
 -205.690065880  ; -0.2783  ; -1.4620   ;  1.3543  ;1
 -205.677188298  ; -0.3516  ; -1.4682   ;  1.4416  ;1
 -205.664352221  ; -0.4209  ; -1.4739   ;  1.5219  ;1
 -205.651632012  ; -0.4866  ; -1.4791   ;  1.5960  ;1
 -205.639083773  ; -0.5487  ; -1.4839   ;  1.6646  ;1
 -205.626749910  ; -0.6076  ; -1.4883   ;  1.7282  ;1
 -205.614662491  ; -0.6632  ; -1.4924   ;  1.7873  ;1
 -205.724838071  ;  1.1907  ; -1.2765   ; -0.8719  ;1
 -205.749447628  ;  1.0430  ; -1.2969   ; -0.5972  ;1
 -205.764712398  ;  0.9016  ; -1.3158   ; -0.3428  ;1
 -205.772697245  ;  0.7669  ; -1.3332   ; -0.1081  ;1
 -205.775050686  ;  0.6388  ; -1.3491   ;  0.1078  ;1
 -205.773086475  ;  0.5174  ; -1.3637   ;  0.3057  ;1
 -205.767848966  ;  0.4026  ; -1.3770   ;  0.4868  ;1
 -205.760163924  ;  0.2940  ; -1.3891   ;  0.6522  ;1
 -205.750680914  ;  0.1914  ; -1.4002   ;  0.8031  ;1
 -205.739907022  ;  0.0945  ; -1.4102   ;  0.9406  ;1
 -205.728234743  ;  0.0029  ; -1.4193   ;  1.0661  ;1
 -205.715965700  ; -0.0837  ; -1.4276   ;  1.1806  ;1
 -205.703329705  ; -0.1656  ; -1.4352   ;  1.2853  ;1
 -205.690500766  ; -0.2431  ; -1.4421   ;  1.3812  ;1
 -205.677610198  ; -0.3165  ; -1.4484   ;  1.4692  ;1
 -205.664756808  ; -0.3860  ; -1.4542   ;  1.5502  ;1
 -205.652015038  ; -0.4519  ; -1.4596   ;  1.6249  ;1
 -205.639441138  ; -0.5142  ; -1.4645   ;  1.6941  ;1
 -205.627077696  ; -0.5732  ; -1.4690   ;  1.7583  ;1
 -205.614956971  ; -0.6291  ; -1.4731   ;  1.8180  ;1
 -205.725395422  ;  1.2236  ; -1.2549   ; -0.8517  ;1
 -205.749941508  ;  1.0764  ; -1.2752   ; -0.5768  ;1
 -205.765170215  ;  0.9354  ; -1.2940   ; -0.3220  ;1
 -205.773137964  ;  0.8010  ; -1.3114   ; -0.0869  ;1
 -205.775486855  ;  0.6732  ; -1.3273   ;  0.1294  ;1
 -205.773525812  ;  0.5520  ; -1.3419   ;  0.3278  ;1
 -205.768295539  ;  0.4373  ; -1.3552   ;  0.5094  ;1
 -205.760619079  ;  0.3288  ; -1.3674   ;  0.6754  ;1
 -205.751143979  ;  0.2262  ; -1.3785   ;  0.8269  ;1
 -205.740375861  ;  0.1292  ; -1.3885   ;  0.9652  ;1
 -205.728706191  ;  0.0375  ; -1.3977   ;  1.0914  ;1
 -205.716435904  ; -0.0492  ; -1.4061   ;  1.2066  ;1
 -205.703794365  ; -0.1313  ; -1.4138   ;  1.3120  ;1
 -205.690955359  ; -0.2089  ; -1.4208   ;  1.4086  ;1
 -205.678050105  ; -0.2825  ; -1.4272   ;  1.4972  ;1
 -205.665177436  ; -0.3522  ; -1.4331   ;  1.5789  ;1
 -205.652411900  ; -0.4182  ; -1.4386   ;  1.6543  ;1
 -205.639809904  ; -0.4807  ; -1.4436   ;  1.7241  ;1
 -205.627414223  ; -0.5399  ; -1.4482   ;  1.7888  ;1
 -205.615257357  ; -0.5959  ; -1.4525   ;  1.8491  ;1
 -205.725979628  ;  1.2553  ; -1.2320   ; -0.8307  ;1
 -205.750459537  ;  1.1086  ; -1.2523   ; -0.5555  ;1
 -205.765650678  ;  0.9681  ; -1.2710   ; -0.3004  ;1
 -205.773600635  ;  0.8341  ; -1.2883   ; -0.0650  ;1
 -205.775944797  ;  0.7066  ; -1.3042   ;  0.1517  ;1
 -205.773987018  ;  0.5856  ; -1.3188   ;  0.3506  ;1
 -205.768764188  ;  0.4710  ; -1.3321   ;  0.5327  ;1
 -205.761096491  ;  0.3625  ; -1.3442   ;  0.6993  ;1
 -205.751629366  ;  0.2599  ; -1.3553   ;  0.8514  ;1
 -205.740866915  ;  0.1629  ; -1.3655   ;  0.9904  ;1
 -205.729199517  ;  0.0712  ; -1.3747   ;  1.1172  ;1
 -205.716927400  ; -0.0156  ; -1.3831   ;  1.2331  ;1
 -205.704279472  ; -0.0978  ; -1.3909   ;  1.3392  ;1
 -205.691429271  ; -0.1756  ; -1.3979   ;  1.4365  ;1
 -205.678507942  ; -0.2493  ; -1.4045   ;  1.5259  ;1
 -205.665614350  ; -0.3191  ; -1.4105   ;  1.6082  ;1
 -205.652823149  ; -0.3852  ; -1.4160   ;  1.6843  ;1
 -205.640190916  ; -0.4479  ; -1.4211   ;  1.7547  ;1
 -205.627760651  ; -0.5072  ; -1.4258   ;  1.8201  ;1
 -205.615565074  ; -0.5634  ; -1.4302   ;  1.8809  ;1
 -205.726588556  ;  1.2859  ; -1.2080   ; -0.8089  ;1
 -205.750999605  ;  1.1397  ; -1.2281   ; -0.5334  ;1
 -205.766151763  ;  0.9997  ; -1.2468   ; -0.2782  ;1
 -205.774083310  ;  0.8660  ; -1.2640   ; -0.0424  ;1
 -205.776422599  ;  0.7388  ; -1.2799   ;  0.1746  ;1
 -205.774468170  ;  0.6181  ; -1.2944   ;  0.3739  ;1
 -205.769252916  ;  0.5036  ; -1.3076   ;  0.5566  ;1
 -205.761594038  ;  0.3952  ; -1.3198   ;  0.7237  ;1
 -205.752134782  ;  0.2927  ; -1.3309   ;  0.8764  ;1
 -205.741377654  ;  0.1957  ; -1.3410   ;  1.0159  ;1
 -205.729711931  ;  0.1039  ; -1.3503   ;  1.1435  ;1
 -205.717437091  ;  0.0170  ; -1.3588   ;  1.2601  ;1
 -205.704781606  ; -0.0653  ; -1.3665   ;  1.3669  ;1
 -205.691918768  ; -0.1432  ; -1.3737   ;  1.4648  ;1
 -205.678979649  ; -0.2170  ; -1.3803   ;  1.5549  ;1
 -205.666063153  ; -0.2870  ; -1.3864   ;  1.6379  ;1
 -205.653244069  ; -0.3532  ; -1.3920   ;  1.7146  ;1
 -205.640579164  ; -0.4160  ; -1.3972   ;  1.7857  ;1
 -205.628111666  ; -0.4755  ; -1.4021   ;  1.8516  ;1
 -205.615874550  ; -0.5318  ; -1.4066   ;  1.9130  ;1
 -205.727218393  ;  1.3153  ; -1.1828   ; -0.7863  ;1
 -205.751558892  ;  1.1697  ; -1.2029   ; -0.5107  ;1
 -205.766671183  ;  1.0301  ; -1.2214   ; -0.2552  ;1
